index;type;minority_decision;majority_decision
391;OUTLIER;10=>3;10=>2
392;RARE;10=>3;10=>2
393;SAFE;10=>3;10=>2
398;BORDERLINE;10=>3;10=>2
399;BORDERLINE;10=>3;10=>2
400;SAFE;10=>3;10=>2
405;RARE;10=>3;10=>2
406;BORDERLINE;10=>3;10=>2
407;SAFE;10=>3;10=>2
408;BORDERLINE;10=>3;10=>2
409;SAFE;10=>3;10=>2
410;SAFE;10=>3;10=>2
411;SAFE;10=>3;10=>2
412;RARE;10=>3;10=>2
415;SAFE;10=>3;10=>2
416;BORDERLINE;10=>3;10=>2
161;SAFE;10=>3;10=>2
417;RARE;10=>3;10=>2
418;SAFE;10=>3;10=>2
419;SAFE;10=>3;10=>2
436;RARE;10=>3;10=>2
445;BORDERLINE;10=>3;10=>2
446;SAFE;10=>3;10=>2
447;BORDERLINE;10=>3;10=>2
457;SAFE;10=>3;10=>2
209;OUTLIER;10=>3;10=>2
216;SAFE;10=>3;10=>2
474;OUTLIER;10=>3;10=>2
475;BORDERLINE;10=>3;10=>2
477;BORDERLINE;10=>3;10=>2
478;RARE;10=>3;10=>2
479;BORDERLINE;10=>3;10=>2
224;OUTLIER;10=>3;10=>2
480;SAFE;10=>3;10=>2
481;RARE;10=>3;10=>2
482;BORDERLINE;10=>3;10=>2
485;OUTLIER;10=>3;10=>2
231;BORDERLINE;10=>3;10=>2
508;RARE;10=>3;10=>2
