index;type;minority_decision;majority_decision
59;BORDERLINE;4=>5;4=>5
317;BORDERLINE;4=>5;4=>5
574;BORDERLINE;4=>5;4=>5
830;BORDERLINE;4=>5;4=>5
319;BORDERLINE;4=>5;4=>5
576;BORDERLINE;4=>5;4=>5
836;BORDERLINE;4=>5;4=>5
69;BORDERLINE;4=>5;4=>5
326;BORDERLINE;4=>5;4=>5
585;BORDERLINE;4=>5;4=>5
74;BORDERLINE;4=>5;4=>5
588;BORDERLINE;4=>5;4=>5
80;BORDERLINE;4=>5;4=>5
848;BORDERLINE;4=>5;4=>5
596;BORDERLINE;4=>5;4=>5
341;BORDERLINE;4=>5;4=>5
598;BORDERLINE;4=>5;4=>5
857;BORDERLINE;4=>5;4=>5
604;BORDERLINE;4=>5;4=>5
94;BORDERLINE;4=>5;4=>5
608;BORDERLINE;4=>5;4=>5
865;BORDERLINE;4=>5;4=>5
99;BORDERLINE;4=>5;4=>5
355;BORDERLINE;4=>5;4=>5
867;BORDERLINE;4=>5;4=>5
356;BORDERLINE;4=>5;4=>5
357;BORDERLINE;4=>5;4=>5
358;OUTLIER;4=>5;4=>5
876;BORDERLINE;4=>5;4=>5
367;BORDERLINE;4=>5;4=>5
626;BORDERLINE;4=>5;4=>5
117;BORDERLINE;4=>5;4=>5
630;BORDERLINE;4=>5;4=>5
886;OUTLIER;4=>5;4=>5
120;BORDERLINE;4=>5;4=>5
378;BORDERLINE;4=>5;4=>5
637;BORDERLINE;4=>5;4=>5
383;BORDERLINE;4=>5;4=>5
641;BORDERLINE;4=>5;4=>5
131;BORDERLINE;4=>5;4=>5
899;BORDERLINE;4=>5;4=>5
388;BORDERLINE;4=>5;4=>5
389;BORDERLINE;4=>5;4=>5
646;BORDERLINE;4=>5;4=>5
903;BORDERLINE;4=>5;4=>5
137;BORDERLINE;4=>5;4=>5
138;BORDERLINE;4=>5;4=>5
394;BORDERLINE;4=>5;4=>5
395;OUTLIER;4=>5;4=>5
909;BORDERLINE;4=>5;4=>5
911;BORDERLINE;4=>5;4=>5
400;BORDERLINE;4=>5;4=>5
912;BORDERLINE;4=>5;4=>5
148;BORDERLINE;4=>5;4=>5
918;BORDERLINE;4=>5;4=>5
151;BORDERLINE;4=>5;4=>5
664;BORDERLINE;4=>5;4=>5
409;BORDERLINE;4=>5;4=>5
666;BORDERLINE;4=>5;4=>5
922;BORDERLINE;4=>5;4=>5
156;BORDERLINE;4=>5;4=>5
157;BORDERLINE;4=>5;4=>5
670;BORDERLINE;4=>5;4=>5
159;BORDERLINE;4=>5;4=>5
415;BORDERLINE;4=>5;4=>5
416;BORDERLINE;4=>5;4=>5
672;BORDERLINE;4=>5;4=>5
164;BORDERLINE;4=>5;4=>5
420;BORDERLINE;4=>5;4=>5
425;BORDERLINE;4=>5;4=>5
428;BORDERLINE;4=>5;4=>5
940;BORDERLINE;4=>5;4=>5
430;BORDERLINE;4=>5;4=>5
945;BORDERLINE;4=>5;4=>5
691;BORDERLINE;4=>5;4=>5
692;BORDERLINE;4=>5;4=>5
693;BORDERLINE;4=>5;4=>5
950;BORDERLINE;4=>5;4=>5
695;BORDERLINE;4=>5;4=>5
696;BORDERLINE;4=>5;4=>5
697;BORDERLINE;4=>5;4=>5
953;BORDERLINE;4=>5;4=>5
186;BORDERLINE;4=>5;4=>5
187;BORDERLINE;4=>5;4=>5
189;BORDERLINE;4=>5;4=>5
